ref,url,title,date_of_incident,company,category,incident_type,severity,location,escalation_stage,sources
TMR-0001,https://themachinerecord.com/case/amazon-warehouse-robot-accidentally-punctured-a-can-of-bear-repellent-hospitaliz-0001,"Amazon warehouse robot accidentally punctured a can of bear repellent, hospitalizing multiple workers",2018-12-06,Amazon,warehouse_amr,malfunction,serious_injury,,follow_up,2
TMR-0002,https://themachinerecord.com/case/three-warehouse-robots-collided-on-top-of-an-automated-grid-system-at-ocado-s-er-0002,"Three warehouse robots collided on top of an automated grid system at Ocado's Erith facility, causing a fire that damaged part of the grid and forced thousands of order cancellations.",2021-07-20,Ocado,warehouse_amr,fire,property_damage,"Erith, London, UK",report,1
TMR-0003,https://themachinerecord.com/case/a-starship-food-delivery-robot-reversed-into-a-73-year-old-a-person-parking-atte-0003,"A Starship food delivery robot reversed into a 73-year-old ASU parking attendant on the Tempe campus, knocking her down and causing a laceration near her left elbow and subsequent back pain.",2023-01-01,Starship Technologies,delivery,lawsuit,minor_injury,"Tempe, Arizona, USA",lawsuit,7
TMR-0004,https://themachinerecord.com/case/an-uber-eats-food-delivery-robot-designed-by-avride-entered-a-crosswalk-against--0004,"An Uber Eats food delivery robot designed by Avride entered a crosswalk against a stop signal in Philadelphia and was struck by a truck, dislodging one of its wheels before the robot continued on.",2026-05-13,Avride,delivery,collision,property_damage,"Philadelphia, Pennsylvania, USA",report,1
TMR-0005,https://themachinerecord.com/case/an-uber-eats-delivery-robot-developed-by-avride-allegedly-cut-off-cyclist-a-pers-0005,"An Uber Eats delivery robot developed by Avride allegedly cut off a cyclist in the bike lane on Varick Street in Jersey City, causing him to go airborne and sustain a concussion and broken clavicle.",2025-10-22,Avride,delivery,lawsuit,serious_injury,"Jersey City, New Jersey, USA",report,1
TMR-0006,https://themachinerecord.com/case/an-ambulance-transporting-a-patient-to-a-hospital-collided-with-an-automated-foo-0006,"An ambulance transporting a patient to a hospital collided with an automated food delivery cart at the intersection of Western and Fountain avenues in Hollywood, causing no additional injuries but requiring the patient to be transferred to a second ambulance.",2026-01-23,Coco Robotics,delivery,collision,property_damage,"Hollywood, California, USA",follow_up,3
TMR-0007,https://themachinerecord.com/case/a-serve-robotics-delivery-robot-collided-with-a-person-a-man-with-cerebral-palsy-0007,"A Serve Robotics delivery robot collided with a man with cerebral palsy riding a mobility scooter on a sidewalk near the West Hollywood Sheriff's Station, causing his scooter to jolt backward.",2025-09-13,Serve Robotics,delivery,collision,minor_injury,"West Hollywood, California, USA",follow_up,6
TMR-0008,https://themachinerecord.com/case/a-coco-food-delivery-robot-uprooted-a-garden-became-entangled-in-a-fence-and-dra-0008,"A Coco food delivery robot uprooted a garden, became entangled in a fence, and dragged the fencing down the street in East Hollywood, Los Angeles, causing property damage to a resident's yard.",2026-02-20,Coco Robotics,delivery,malfunction,property_damage,"East Hollywood, Los Angeles, California, USA",report,1
TMR-0009,https://themachinerecord.com/case/an-uber-eats-delivery-robot-became-stuck-on-railroad-tracks-in-miami-and-was-str-0009,"An Uber Eats delivery robot became stuck on railroad tracks in Miami and was struck and destroyed by an oncoming train on January 15, 2026, with no injuries reported.",2026-01-15,Uber Eats,delivery,collision,property_damage,"Miami, Florida, USA",follow_up,6
TMR-0010,https://themachinerecord.com/case/a-serve-robotics-sidewalk-delivery-robot-repeatedly-blocked-and-then-collided-wi-0010,A Serve Robotics sidewalk delivery robot repeatedly blocked and then collided with Mark Chaney-Gay's mobility scooter near the West Hollywood Sheriff's Station on Santa Monica Boulevard last September (referenced as a prior viral incident in an article published March 2026).,2025-09-01,Serve Robotics,delivery,collision,minor_injury,"West Hollywood, California, USA",report,1
